id,NAME,OTHER NAME,LAT,LON,COUNTRY,REGION,PROVINCE,COUNTY,LOCALITY,TYPE OF CAVITY,TYPE OF ENTRANCE,EXTENT (m),ALTITUDE (MSNM),AREA,VOLUME,DEPTH,GEOCHEMIST,SYSTEM,CAVE_DIVING,FLOODED,SEASONAL FLOOD,WATER CURRENTS,SIFONS,SPRINGS,WATER COLUMN DEPTH,AIR POCKET,EQUIPED,EXPLORED,TOPOGRAPHY,PLANS,PHOTOGRAPH,BIOTYPE,ETNOGRAPHY,ROCK ART,PROTECTED,ACCESS,NATURAL PARK,ONLINE,BIBLIOGRAPHY,LAST UPDATE,CATASTRAL REFERENCE
ARG1,Cueva de la Salamanca,,-33.59527778,-59.67777778,ARGENTINA,,BUENOS AIRES,SAN PEDRO,VUELTA DE OBLIGADO,,,39.5,,,,,arcillas marinas de la ingresion querandi,,,,,,,,,,,,,,,,,,,,,,"CATASTRO.CAVES INVENTORY; Roberto Ag�ero y Gabriel Redonte,SALAMANCA 2, MAYO DE 1986, BUENOS AIRES, 38P. anexo p. 1-5; ISSN N�0327-0483",,B-1
ARG2,Gruta del Oro,,-37.60277778,-59.46972222,ARGENTINA,,BUENOS AIRES,JUAREZ,BARKER,,,38.9,,,,,Cuarcitas del Paleozoico inferior,,,,,,,,,,,,,,,,,,,,,,"CATASTRO.CAVES INVENTORY; Roberto Ag�ero y Gabriel Redonte,SALAMANCA 2, MAYO DE 1986, BUENOS AIRES, 38P. anexo p. 1-5; ISSN N�0327-0483",,B-2
ARG3,Caverna Obscura,,-37.60222222,-57.46222222,ARGENTINA,,BUENOS AIRES,JUAREZ,BARKER,,,57.7,,,,,Cuarcitas del Paleozoico inferior,,,,,,,,,,,,,,,,,,,,,,"CATASTRO.CAVES INVENTORY; Roberto Ag�ero y Gabriel Redonte,SALAMANCA 2, MAYO DE 1986, BUENOS AIRES, 38P. anexo p. 1-5; ISSN N�0327-0483",,B-3
ARG4,Caverna de la Laguna Brava,,-31.255,-64.56472222,ARGENTINA,,CORDOBA,PUNILLA,MALLEN,,,100.1,,,,,Q Calizas Cristalinas,,,,,,,,,,,,,,,,,,,,,,"CATASTRO.CAVES INVENTORY; Roberto Ag�ero y Gabriel Redonte,SALAMANCA 2, MAYO DE 1986, BUENOS AIRES, 38P. anexo p. 1-5; ISSN N�0327-0483",,X-1
ARG5,Caverna de las Brujas,,-35.8,-69.82472222,ARGENTINA,,Mendoza,Malargue,Bardas Blancas,,,"1,150",,,,,Calizas Arenosas y dolom�ticos,,,,,,,,,,,,,,,,,,,,,,"CATASTRO.CAVES INVENTORY; Roberto Ag�ero y Gabriel Redonte,SALAMANCA 2, MAYO DE 1986, BUENOS AIRES, 38P. anexo p. 1-5; ISSN N�0327-0483",,M-1
ARG6,Cueva de la Y,,-31.10805556,-64.48333333,ARGENTINA,,CORDOBA,Punilla,Valle Hermoso,,,52.8,,,,,Q Calizas Metamorficas,,,,,,,,,,,,,,,,,,,,,,"CATASTRO.CAVES INVENTORY; Roberto Ag�ero y Gabriel Redonte,SALAMANCA 2, MAYO DE 1986, BUENOS AIRES, 38P. anexo p. 1-5; ISSN N�0327-0483",,X-3
ARG7,Cueva Chica,,-31.10777778,-64.48333333,ARGENTINA,,CORDOBA,Punilla,Valle Hermoso,,,47.5,,,,,Q Calizas Metamorficas,,,,,,,,,,,,,,,,,,,,,,"CATASTRO.CAVES INVENTORY; Roberto Ag�ero y Gabriel Redonte,SALAMANCA 2, MAYO DE 1986, BUENOS AIRES, 38P. anexo p. 1-5; ISSN N�0327-0483",,X-2
ARG8,Caverna del Potrero,,-31.10555556,-64.48611111,ARGENTINA,,CORDOBA,Punilla,Valle Hermoso,,,52.85,,,,,Q Calizas Metamorficas,,,,,,,,,,,,,,,,,,,,,,"CATASTRO.CAVES INVENTORY; Roberto Ag�ero y Gabriel Redonte,SALAMANCA 2, MAYO DE 1986, BUENOS AIRES, 38P. anexo p. 1-5; ISSN N�0327-0483",,X-5
ARG9,Cueva de San Antonio,,-31.1075,-64.48472222,ARGENTINA,,CORDOBA,Punilla,Valle Hermoso,,,8.1,,,,,Q Calizas Metamorficas,,,,,,,,,,,,,,,,,,,,,,"CATASTRO.CAVES INVENTORY; Roberto Ag�ero y Gabriel Redonte,SALAMANCA 2, MAYO DE 1986, BUENOS AIRES, 38P. anexo p. 1-5; ISSN N�0327-0483",,X-4
ARG10,Gruta de Intihuasi,,,,ARGENTINA,,San Luis,Carolina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"CATASTRO.CAVES INVENTORY; Roberto Ag�ero y Gabriel Redonte,SALAMANCA 2, MAYO DE 1986, BUENOS AIRES, 38P. anexo p. 1-5; ISSN N�0327-0483",,D-1
